12
12312
123123
12312
123123
12313
123123
123
1131User: 7ydev | UserID: 317826037050376205 | Sent: 950 Credits | Received: 95 7YAS | Time: 2024-08-26T06:25:09.053656
User: 7ydev | UserID: 317826037050376205 | Sent: 4750 Credits | Received: 92.90361301 7YAS | Time: 2024-08-29T12:15:24.282901
User: yd_u | UserID: 1154486861113327710 | Sent: 9500 Credits | Received: 185.80506814 7YAS | Time: 2024-08-29T12:16:47.442109
User: 7ydev | UserID: 317826037050376205 | Sent: 950 Credits | Received: 18.99980976 7YAS | Time: 2024-08-30T06:54:41.306803
User: 7ydev | UserID: 317826037050376205 | Sent: 4750 Credits | Received: 4750.0 7YAS | Time: 2024-08-30T16:10:06.099454
User: 7ydev | UserID: 317826037050376205 | Sent: 4750 Credits | Received: 94.99904871 7YAS | Time: 2024-08-31T06:39:38.387675
User: 7ydev | UserID: 317826037050376205 | Sent: 4750 Credits | Received: 94.99904871 7YAS | Time: 2024-08-31T08:18:37.892945
User: 7ydev | UserID: 317826037050376205 | Sent: 4750 Credits | Received: 94.99904871 7YAS | Time: 2024-08-31T09:42:31.705750
User: 7ydev | UserID: 317826037050376205 | Sent: 1900 Credits | Received: 37.99961948 7YAS | Time: 2024-08-31T13:57:35.033686
User: 7ydev | UserID: 317826037050376205 | Sent: 950 Credits | Received: 18.99980427 7YAS | Time: 2024-09-01T04:47:32.452390
User: 7ydev | UserID: 317826037050376205 | Sent: 9500 Credits | Received: 189.9980427 7YAS | Time: 2024-09-01T05:00:16.849617
User: 7ydev | UserID: 317826037050376205 | Sent: 2850 Credits | Received: 56.99941196 7YAS | Time: 2024-09-01T05:31:49.897813
User: 7ydev | UserID: 317826037050376205 | Sent: 950 Credits | Received: 18.99999832 7YAS | Time: 2024-09-02T15:55:29.736073
User: 7ydev | UserID: 317826037050376205 | Sent: 100 Credits | Received: 1.99999982 7YAS | Time: 2024-09-02T15:56:35.818079
User: 7ydev | UserID: 317826037050376205 | Sent: 4750 Credits | Received: 94.9999884 7YAS | Time: 2024-09-03T04:08:08.495547
User: 7ydev | UserID: 317826037050376205 | Sent: 4750 Credits | Received: 94.99999263 7YAS | Time: 2024-09-03T04:16:11.339711
User: 7ydev | UserID: 317826037050376205 | Sent: 4750 Credits | Received: 94.99999263 7YAS | Time: 2024-09-03T04:18:50.843799
User: 7ydev | UserID: 317826037050376205 | Sent: 285 Credits | Received: 5.69999955 7YAS | Time: 2024-09-03T04:21:09.897416
User: 7ydev | UserID: 317826037050376205 | Sent: 4750 Credits | Received: 94.9999926 7YAS | Time: 2024-09-03T04:34:09.797223
User: 7ydev | UserID: 317826037050376205 | Sent: 4750 Credits | Received: 94.9999926 7YAS | Time: 2024-09-03T04:49:38.227080
User: 7ydev | UserID: 317826037050376205 | Sent: 4750 Credits | Received: 94.99999308 7YAS | Time: 2024-09-03T13:14:54.553870
User: yd_u | UserID: 1154486861113327710 | Sent: 9500 Credits | Received: 189.99998526 7YAS | Time: 2024-09-04T05:42:24.294674
